question,keywords,answer
"ডেলিভারি কবে পাবো","কবে,কতদিন,কত দিনে,delivery,ডেলিভারি,সময়","ঢাকার মধ্যে সাধারণত ১–২ কর্মদিবস, ঢাকার বাইরে ৩–৫ কর্মদিবস লাগে। একটু দেরি হলে আগেই জানিয়ে দিই।"
"ডেলিভারি চার্জ কত?","ডেলিভারি চার্জ,ডেলিভারি ফি,ডেলিভারি কত,শিপিং,shipping,delivery fee","ঢাকার মধ্যে ৭০৳, ঢাকার বাইরে ১৫০৳ (কুরিয়ার চার্জ)। প্রোডাক্টের দামের সাথে আলাদা যোগ হবে।"
"পেমেন্ট মেথড কী?","পেমেন্ট,পেমেন্ট মেথড,cod,ক্যাশ অন ডেলিভারি,ক্যাশ,হাতেহাতে","আমরা Cash on Delivery (COD) দিচ্ছি — পণ্য হাতে পেলেই টাকা দিন।"
"স্টক আছে?","স্টক,আছে নাকি,available,অ্যাভেইলেবল,মজুত","যে কোড বলবেন আমি সাথে সাথে দেখে জানিয়ে দিই। অনুগ্রহ করে প্রোডাক্ট কোড পাঠান (যেমন DR-1050)।"
"সাইজ আছে?","সাইজ,সাইজ আছে,সাইজিং,size,measurement,মেজারমেন্ট","অনুগ্রহ করে কোড বলুন; আমরা সাধারণত S/M/L/XL রাখি। না থাকলে বিকল্প সাজেস্ট করব।"
"সাইজ গাইড চাই","সাইজ গাইড,size guide,মাপ,measurement chart","সাধারণ গাইড: S=36, M=38, L=40, XL=42 (পুরুষ পাঞ্জাবি)। মেয়েদের ড্রেসে bust/hip মাপ অনুযায়ী সাজেস্ট করি।"
"মেটেরিয়াল কী?","মেটেরিয়াল,ফ্যাব্রিক,কাপড়,কটন,সুটিং,শিফন,লন","প্রোডাক্টভেদে ভিন্ন। কোড দিলে ফ্যাব্রিক জানাই। বেশিরভাগই সফট কটন/মিশ্র কাপড়।"
"কালার দেখাবে?","কালার,রং,আরো ছবি,extra photo,picture,ফটো","প্রোডাক্ট কোড দিন; থাকলে অতিরিক্ত ছবি/ভিডিও লিংক পাঠিয়ে দিচ্ছি। স্ক্রিনে রঙ সামান্য ভিন্ন দেখা যেতে পারে।"
"ধোয়ার নিয়ম কী?","ধোয়া,ওয়াশ,ওয়াশ কেয়ার,wash care,ধোয়া","প্রথম ২–৩ বার হাতে হালকা ডিটারজেন্টে ধুতে হবে; ব্লিচ নয়, রোদে বেশি সময় না শুকানো ভালো।"
"রিটার্ন/এক্সচেঞ্জ হবে?","রিটার্ন,এক্সচেঞ্জ,ফেরত,change,return policy","সাইজ/ডিফেক্ট ইস্যুতে ২৪ ঘন্টার মধ্যে ইনবক্সে জানালে এক্সচেঞ্জ করা যায়।"
"অর্ডার কিভাবে করবো?","অর্ডার,অর্ডার করতে চাই,বুক,বুকিং,order","এই ফরম্যাটে পাঠান: নাম, মোবাইল, ঠিকানা, কোড, সাইজ, Qty। উদাহরণ: নাম: রফিক, ফোন: 017…, ঠিকানা: মিরপুর, কোড: DR-1050, সাইজ: L, Qty: 1।"
"অর্ডার কনফার্ম হবে কীভাবে?","কনফার্ম,confirm,অর্ডার কনফার্ম,রিসিভড","তথ্য পেলেই আমরা Order ID পাঠাই। তারপর প্যাক/শিপ হয়ে গেলে ট্র্যাকিং আপডেট যায়।"
"অর্ডার কতদূর?","কতদূর,where is,status,ট্র্যাক,tracking,কোথায়","আপনার Order ID (যেমন ORD-12345) লিখুন; আমি স্ট্যাটাস পাঠিয়ে দিচ্ছি।"
"ট্র্যাকিং লিংক পাবো?","ট্র্যাকিং,tracking,লিংক,link,courier track","শিপ হলে ট্র্যাকিং লিংক পাঠাই। না পেলে Order ID দিন।"
"কুরিয়ার কোনটা?","কুরিয়ার,ডেলিভারি পার্টনার,courier,home delivery","ঢাকায় সাধারণত হোম ডেলিভারি, বাইরে নির্ধারিত কাউন্টার।"
"ডেলিভারি এরিয়া","ঢাকায় দেন?,বাইরে দেন?,সারা বাংলাদেশ,ডেলিভারি এরিয়া,area","আমরা সারা বাংলাদেশে ডেলিভারি করি ✅"
"দ্রুত ডেলিভারি হবে?","দ্রুত,আজই,emergency,urgent,একদিনে","ঢাকায় এক্সপ্রেস সম্ভব (অ্যাভেইলেবিলিটি নির্ভর)। ইনবক্সে লোকেশন দিন।"
"হোলসেল/বাল্ক","হোলসেল,বাল্ক,bulk,রিসেল,resell","বাল্ক অর্ডারে স্পেশাল প্রাইস দেই। কী পরিমাণ লাগবে জানান।"
"কাস্টমাইজ করা যাবে?","কাস্টমাইজ,মাপমতো,design change,logo,নেম প্রিন্ট","নির্দিষ্ট আইটেমে কাস্টম সাইজ/লোগো সম্ভব। ইনবক্সে বিস্তারিত দিন।"
"ডিসকাউন্ট আছে?","ডিসকাউন্ট,অফার,কুপন,কম দাম,ক্যাশব্যাক","অফার থাকলে আমরা জানাই। বাল্কে ডিসকাউন্ট পাওয়া যায়।"
"স্টকে নেই—কখন আসবে?","স্টক আউট,আসবে কবে,restock,রিস্টক","রিস্টক এলার্ট চাইলে কোড দিন—এলে জানিয়ে দেব।"
"প্রাইজ ফিক্সড?","কম দিবা?,নেগো,price কমাও,final price,fix price","আমরা বেস্ট প্রাইস রাখি; বাল্কে কমানো সম্ভব।"
"ওয়ারেন্টি/গ্যারান্টি?","গ্যারান্টি,ওয়ারেন্টি,warranty,guarantee","ম্যানুফ্যাকচারিং ডিফেক্টে এক্সচেঞ্জ সহায়তা দিই।"
"ছবি/ভিডিও চাই","ভিডিও,লাইভ,আরো ভিডিও,reel,shorts","থাকলে ভিডিও লিংক পাঠাই; না থাকলে ইনবক্সে ব্যবস্থা করি।"
"শোরুম আছে?","শোরুম,দোকান,শপ,ঠিকানা,লোকেশন,address","আমাদের এখনো ফিজিক্যাল শোরুম নেই 💻 আমরা অনলাইন-ভিত্তিক। ঢাকায় ৭০৳, বাইরে ১৫০৳ কুরিয়ার। চাইলে পিকআপ লোকেশন ব্যবস্থা করা যায়।"
"কন্ট্যাক্ট নম্বর","নম্বর,ফোন,যোগাযোগ,whatsapp,কল","আমাদের অফিসিয়াল নম্বর: 01650206700 (WhatsApp/কল)।"
